id,name,artist_count,ref_count,created
202094,Ani & Beau,1,6,2011-05-16 16:32:11.963929+00
288788,Rouse,1,90,2011-05-16 16:32:11.963929+00
485926,The Ascient Rebels,1,2,2011-05-16 16:32:11.963929+00
809019,Toni Childs & Phil Ramacom,2,2,2011-05-16 16:32:11.963929+00
218132,Londonairs,1,2,2011-05-16 16:32:11.963929+00
277925,Angel Illarramendi,1,34,2011-05-16 16:32:11.963929+00
1009634,Charlie Parker feat. Dizzy Gillespie,2,6,2012-07-02 21:32:19.436862+00
548770,Dead Blood,1,2,2011-05-16 16:32:11.963929+00
322256,Dr. Kreator,1,20,2011-05-16 16:32:11.963929+00
539393,Rappa Roberts & Tippa Lee,1,2,2011-05-16 16:32:11.963929+00
670745,Nonsense,1,2,2011-05-16 16:32:11.963929+00
961437,김한성,1,4,2012-03-27 11:40:08.015709+00
417170,Theeq,1,2,2011-05-16 16:32:11.963929+00
1167652,Saskia Tanfal & Marius Clarén,2,2,2013-05-19 09:58:52.389752+00
797484,Sergeant Juggler,1,4,2011-05-16 16:32:11.963929+00
1065030,Cornelia Zenz & Steve Barton,2,2,2012-10-15 14:13:41.784407+00
285630,Emily Vinette,1,2,2011-05-16 16:32:11.963929+00
8533,Signs ov Chaos,1,32,2011-05-16 16:32:11.963929+00
573432,Rama Berch,1,14,2011-05-16 16:32:11.963929+00
588695,Jet 7,1,4,2011-05-16 16:32:11.963929+00
66609,Kevin Shea,1,2,2011-05-16 16:32:11.963929+00
868140,Yliheli,1,2,2011-10-10 10:51:04.709289+00
248653,Princeton University Wildcats,1,12,2011-05-16 16:32:11.963929+00
676375,Timm Berg,1,2,2011-05-16 16:32:11.963929+00
1063577,Vince Gill feat. Emmylou Harris & Carl Jackson,3,3,2012-10-11 21:55:32.831139+00
744214,Trudi L. Sagovac,1,4,2011-05-16 16:32:11.963929+00
1021404,Bow Wow feat. Ron Browz & Nelly,3,2,2012-07-21 12:10:10.708005+00
613164,Bob Center,1,7,2011-05-16 16:32:11.963929+00
657125,Alan Reekie,1,12,2011-05-16 16:32:11.963929+00
390938,A Decade to Die For,1,2,2011-05-16 16:32:11.963929+00
1148892,The Eyes of Ark,1,2,2013-04-06 01:08:53.559741+00
1389968,Harvard of the South,1,1,2014-11-17 22:10:20.990074+00
601032,Maison Blanche,1,2,2011-05-16 16:32:11.963929+00
189951,The Del Emma's,1,2,2011-05-16 16:32:11.963929+00
1135081,Elégance,1,2,2013-03-03 23:13:46.731692+00
829991,ToteKing & Pasión Oscura,2,2,2011-06-15 16:20:35.68385+00
1072203,Blinded Memory,1,10,2012-10-26 21:44:03.854851+00
204270,Charles the Security Gaurd,1,2,2011-05-16 16:32:11.963929+00
675346,"James ""Taildragger"" Jones",1,6,2011-05-16 16:32:11.963929+00
193878,Adam Routh,1,682,2011-05-16 16:32:11.963929+00
177935,Slo-Fi,1,2,2011-05-16 16:32:11.963929+00
265230,Black Tax,1,26,2011-05-16 16:32:11.963929+00
682806,Iron Metal,1,24,2011-05-16 16:32:11.963929+00
426206,Bloodthirst,1,66,2011-05-16 16:32:11.963929+00
538409,Voices of Darkness,1,2,2011-05-16 16:32:11.963929+00
1050133,Rondo Hatton,1,32,2012-09-13 20:28:51.111075+00
920160,Chris Slanton,1,12,2012-01-07 00:09:01.971115+00
874746,Ricardo Vignini & Zé Helder,1,37,2011-10-26 12:09:24.393379+00
816101,Fibla & Miqui Puig,2,2,2011-05-16 16:32:11.963929+00
569728,Thorltd,1,16,2011-05-16 16:32:11.963929+00
179347,Vai de roda,1,4,2011-05-16 16:32:11.963929+00
694517,DJ Faber,1,2,2011-05-16 16:32:11.963929+00
811788,DJ Git Hyper & DJ Paul,2,4,2011-05-16 16:32:11.963929+00
169842,Second Hand Band,1,50,2011-05-16 16:32:11.963929+00
940326,David McAlmont/David Arnold,2,7,2012-02-05 15:21:48.629269+00
840602,Timeblind / Matt Shadetek,2,4,2011-07-19 00:00:10.278338+00
994760,Gnarled Bikers,1,2,2012-05-31 21:07:37.58531+00
947640,Lady Gripette,1,2,2012-02-21 02:33:15.244853+00
476606,Ronald Thomas Clontel,1,2,2011-05-16 16:32:11.963929+00
519015,Ambassa,1,20,2011-05-16 16:32:11.963929+00
169099,J.T.4,1,2,2011-05-16 16:32:11.963929+00
1110974,Myrkraverk,1,14,2013-01-11 19:29:01.383491+00
557894,Mamaluke,1,4,2011-05-16 16:32:11.963929+00
1104239,"BBC Symphony Orchestra, Richard Hickox, Howard Shelley",3,6,2012-12-29 23:11:53.360264+00
254399,Trucker Crank,1,2,2011-05-16 16:32:11.963929+00
619726,Gösta Jöngren,1,2,2011-05-16 16:32:11.963929+00
933637,Curmee,1,2,2012-01-22 03:04:45.75032+00
893840,"EmazetProcent, Kfiat feat. DJ Krug",4,2,2011-12-05 23:48:31.602541+00
1061055,Ümit Sayın feat. Emel Müftüoğlu,2,2,2012-10-07 11:01:21.549649+00
1096204,MF DOOM feat. Ghostface,2,2,2012-12-15 08:00:31.031782+00
1075608,Ahmed El Sherif,1,46,2012-11-03 21:23:14.574609+00
271582,Slomotion,1,2,2011-05-16 16:32:11.963929+00
124764,Jazz Musician,1,13,2011-05-16 16:32:11.963929+00
973965,The Vocal Orchestra,1,1,2012-04-22 12:12:44.615954+00
592667,Lonnie Givens,1,4,2011-05-16 16:32:11.963929+00
1003706,Jesse Somfay & Henry Saiz,2,3,2012-06-21 17:29:40.022544+00
881266,1968,1,32,2011-11-09 20:07:37.929374+00
1165364,Phazes & Phil Better feat. MC 3GGA,2,2,2013-05-14 12:08:25.664057+00
535445,Paul Rudnick,1,2,2011-05-16 16:32:11.963929+00
653301,Brian Alberici,1,108,2011-05-16 16:32:11.963929+00
1168707,P‐Money feat. Nicole Wray & Jamall Bufford,3,2,2013-05-21 17:14:01.613835+00
1068066,Jadakiss feat. 2Pac,2,7,2012-10-19 17:05:31.649963+00
463376,Som do Galpom,1,44,2011-05-16 16:32:11.963929+00
450129,B-54,1,2,2011-05-16 16:32:11.963929+00
466992,Nadeem,1,4,2011-05-16 16:32:11.963929+00
1068379,Caustic feat. Android Lust,2,2,2012-10-19 23:40:36.188911+00
257160,Michael Kingzett Taylor,1,2,2011-05-16 16:32:11.963929+00
1074900,W-Magic,1,30,2012-11-01 23:13:55.391593+00
1021751,Ray Davies feat. Jon Bon Jovi & Richie Sambora,3,2,2012-07-22 07:28:20.154295+00
769432,Iry Le Jeunne,1,2,2011-05-16 16:32:11.963929+00
688447,Los q no se enteran,1,30,2011-05-16 16:32:11.963929+00
977716,The Acorn & Jamie Bunton,2,2,2012-04-30 20:03:45.347946+00
1024774,Luka Nižetić & Klapa Nostalgija,2,4,2012-07-27 12:29:26.902995+00
1048323,Tora! Tora Tora!,1,2,2012-09-10 10:30:28.097846+00
863297,"Joshua Bell feat. Edgar Meyer, Sam Bush and Mike Marshall",4,3,2011-09-30 05:02:55.858394+00
64090,The Newly Deads,1,2,2011-05-16 16:32:11.963929+00
483640,Adam Václav Michna z Otradovic,1,104,2011-05-16 16:32:11.963929+00
829830,BLASPHEMY RITES,1,32,2011-06-15 09:15:53.522476+00
1078103,"Cecilia Eng, Andrew Nesbitt",2,2,2012-11-10 16:49:19.066283+00
1113065,Ranking Levy,1,3,2013-01-16 19:38:53.528476+00
