id,release,label,catalog_number,last_updated
4760,1,1367,\N,2011-05-16 15:59:00.785958+00
754743,1219491,72973,\N,2012-11-13 13:25:10.730748+00
5357,5,4934,422-828 553-2,2011-05-16 15:59:00.785958+00
481398,187,83127,D101335,2014-10-13 17:48:25.709377+00
555094,8,172,EPC 508782 2,2011-05-16 15:59:00.785958+00
379,14,14486,ZK 52959,2011-05-16 15:59:00.785958+00
33454,15,756,ANKST57,2011-05-16 15:59:00.785958+00
33450,16,951,CRESCD235,2011-05-16 15:59:00.785958+00
33452,17,951,CRESCD243,2011-05-16 15:59:00.785958+00
33444,18,951,CRESCD 252,2011-05-16 15:59:00.785958+00
33448,19,951,CRESCD269,2011-05-16 15:59:00.785958+00
33442,20,951,CRESCD275,2011-05-16 15:59:00.785958+00
33445,21,951,CRESCD283,2011-05-16 15:59:00.785958+00
9392,24,172,EK 69630,2011-05-16 15:59:00.785958+00
64763,25,951,CRESCD247,2011-05-16 15:59:00.785958+00
4762,27,172,EK 57523,2011-05-16 15:59:00.785958+00
45925,28,951,CRESCD329,2011-05-16 15:59:00.785958+00
33441,29,951,CRESCD 314,2011-05-16 15:59:00.785958+00
50667,30,951,CRESCD323,2011-05-16 15:59:00.785958+00
111322,31,761,PLC02,2011-05-16 15:59:00.785958+00
33456,32,172,671224 6,2011-05-16 15:59:00.785958+00
64768,33,172,671908 2,2011-05-16 15:59:00.785958+00
50666,34,172,612175 2,2011-05-16 15:59:00.785958+00
906780,1372856,1646,\N,2014-01-06 21:14:22.301581+00
51804,36,172,673906 2,2011-05-16 15:59:00.785958+00
33449,37,951,CRESCD222,2011-05-16 15:59:00.785958+00
11491,38,3002,ST-12141,2011-05-16 15:59:00.785958+00
33447,39,951,CRESCD 231,2011-05-16 15:59:00.785958+00
55712,41,172,674360 2,2011-05-16 15:59:00.785958+00
906785,1372863,888,VICL-63168,2014-01-06 21:32:41.310414+00
910286,1376233,3651,\N,2014-01-16 03:59:59.789209+00
33443,44,951,CRESCD288,2011-05-16 15:59:00.785958+00
912081,1378067,23790,DI 010,2014-01-19 21:58:00.999699+00
912087,1378073,42582,CS001/10,2014-01-19 22:08:24.66776+00
912088,1378074,87756,LE284,2014-01-19 22:08:34.39348+00
33362,49,951,CRECD 229L,2011-05-16 15:59:00.785958+00
912691,1378748,28,AVCD-31009,2014-01-21 14:57:25.736888+00
7728,52,4608,06076 86240-2,2011-05-16 15:59:00.785958+00
912961,1379032,\N,PDJ7305d,2014-01-22 07:10:39.54487+00
913096,985722,3267,[none],2014-01-22 17:01:26.004042+00
25143,55,951,CRECD214,2011-05-16 15:59:00.785958+00
54526,56,235,CK 89061,2011-05-16 15:59:00.785958+00
33367,57,951,SCR 494594 2,2011-05-16 15:59:00.785958+00
33439,59,761,PLC03CD,2011-05-16 15:59:00.785958+00
33366,60,172,502413 9,2011-05-16 15:59:00.785958+00
33364,61,222,BXL026CD,2011-05-16 15:59:00.785958+00
60314,62,3764,MCD 60090 9865875,2011-05-16 15:59:00.785958+00
55665,65,347,MCSTD40327,2011-05-16 15:59:00.785958+00
55667,66,347,MCSXD40327,2011-05-16 15:59:00.785958+00
50822,67,172,5123759,2011-05-16 15:59:00.785958+00
46593,68,347,MCSXD40294,2011-05-16 15:59:00.785958+00
46595,69,347,MCSTD40294,2011-05-16 15:59:00.785958+00
9928,70,951,CRECD 190,2011-05-16 15:59:00.785958+00
36505,71,347,MCSXD40306,2011-05-16 15:59:00.785958+00
36504,72,347,MCSTD40306,2011-05-16 15:59:00.785958+00
46591,73,347,MCSTD40318,2011-05-16 15:59:00.785958+00
623347,884817,30139,NVR2005-2,2011-10-30 13:32:12.902142+00
33440,78,19838,FLY 040-2,2011-05-16 15:59:00.785958+00
49402,80,14760,NOW 5849102,2011-05-16 15:59:00.785958+00
64773,81,756,ANKSTCD062,2011-05-16 15:59:00.785958+00
12591,83,480,PMC 1202,2011-05-16 15:59:00.785958+00
12097,84,480,PMC 1206,2011-05-16 15:59:00.785958+00
7151,85,480,PMC 1230,2011-05-16 15:59:00.785958+00
15955,87,480,PMC 1240,2011-05-16 15:59:00.785958+00
29496,88,480,PMC 1255,2011-05-16 15:59:00.785958+00
756752,1221559,491,BLP 1535,2012-11-19 05:46:41.212996+00
9409,91,480,PMC 1267,2011-05-16 15:59:00.785958+00
144,92,480,PMC 7009,2011-05-16 15:59:00.785958+00
6394,93,480,PMC 7027,2011-05-16 15:59:00.785958+00
7322,94,155,SMAL 2835,2011-05-16 15:59:00.785958+00
4885,96,484,PMC 7067,2011-05-16 15:59:00.785958+00
320,100,484,PMC 7070,2011-05-16 15:59:00.785958+00
824077,1290325,426,421 638-4,2013-05-15 16:18:27.812212+00
393,103,484,PCS 7088,2011-05-16 15:59:00.785958+00
5949,104,484,PXS 1,2011-05-16 15:59:00.785958+00
1059539,43543,18382,834 506-2,2014-11-17 22:30:42.337501+00
36183,110,484,CDR 6422,2011-05-16 15:59:00.785958+00
524448,112,3890,82876557462,2011-05-16 15:59:00.785958+00
482060,115,981,EHRLP005,2011-05-16 15:59:00.785958+00
8081,116,982,JPRCD001,2011-05-16 15:59:00.785958+00
6497,117,982,JPRCD003,2011-05-16 15:59:00.785958+00
7217,119,982,JPRCD010,2011-05-16 15:59:00.785958+00
24288,120,982,JPRCD014,2011-05-16 15:59:00.785958+00
13955,121,982,JPRCDS002,2011-05-16 15:59:00.785958+00
24017,122,982,JPRCDS001,2011-05-16 15:59:00.785958+00
64786,123,9227,YS-2731-SH,2011-05-16 15:59:00.785958+00
33705,124,982,JPRCDS003,2011-05-16 15:59:00.785958+00
33699,126,982,JPRCDS 018,2011-05-16 15:59:00.785958+00
36204,128,982,JPRCDS 022,2011-05-16 15:59:00.785958+00
19499,129,982,JPRCDS023,2011-05-16 15:59:00.785958+00
55337,133,787,RTRADECD 080,2011-05-16 15:59:00.785958+00
55336,134,787,06076-83216-2,2011-05-16 15:59:00.785958+00
18557,135,982,JPRCD013,2011-05-16 15:59:00.785958+00
110836,136,17589,74321524912,2011-05-16 15:59:00.785958+00
15362,137,62,ILPS 9134,2011-05-16 15:59:00.785958+00
495678,138,888,VICP-62198,2011-05-16 15:59:00.785958+00
20922,140,62,ILPS 9105,2011-05-16 15:59:00.785958+00
5569,141,62,ILPS 9184,2011-05-16 15:59:00.785958+00
10476,144,5044,IMCD 196,2011-05-16 15:59:00.785958+00
54975,146,39,VSD-5565,2011-05-16 15:59:00.785958+00
