id,work_attribute_type,value,parent,child_order,description,gid
801,1,C Mixolydian,\N,42,\N,be304e29-9abe-356a-9c94-d2d0c23e5b4e
802,1,D Mixolydian,\N,43,\N,3fde5ca3-a535-3d25-b65d-502fee0e97d7
803,1,E Mixolydian,\N,44,\N,8d21be5e-f31e-313e-8b4c-1b2b54fa684e
804,1,F Mixolydian,\N,45,\N,acb147bc-476c-365e-a88b-35f6addfa800
805,1,G Mixolydian,\N,46,\N,87ab25d0-4030-36f6-9475-c5d56a5a256b
806,1,A Mixolydian,\N,47,\N,2a6adcea-da49-35b3-9704-57c53a9fd652
807,1,B Mixolydian,\N,48,\N,7ae03cb2-b118-361f-b9ff-68a287330f12
298,15,ambiguous,\N,0,\N,9a15e146-9b2b-317b-9746-bd5c8376412e
789,1,C Dorian,\N,35,\N,4863dc72-277f-3c22-9e88-1c78870b6a6f
790,1,D Dorian,\N,36,\N,b4f68078-3fad-3939-b38d-544f117db092
791,1,E Dorian,\N,37,\N,52ecc136-dd49-3f81-be6b-d73767ea75b0
792,1,F Dorian,\N,38,\N,de2b7757-26a0-34af-8046-2a7909a61ca7
793,1,G Dorian,\N,39,\N,3cd38d88-41ba-3dc9-8dbf-adc631ba357b
794,1,A Dorian,\N,40,\N,9903be03-0541-30d5-a645-41b137099260
795,1,B Dorian,\N,41,\N,281ae7ea-6eb3-3f6e-8106-9aebe772b67b
796,17,Darbeyn,\N,1,\N,db3f21f8-2e2d-350e-9f07-7701f16a7a1d
797,17,Devr-i Turan II,\N,1,\N,2f3d6cd6-c7b8-3aaf-b450-ed9aca7048c6
798,17,Raksaksağı II,\N,1,\N,5bac25a6-139a-3044-9212-9e4c77d8ebeb
799,17,Türkmen,\N,1,\N,732ee17c-26c2-3718-b31a-305d2680ef2b
35,4,Ābhēri,\N,0,\N,64c06c3c-139b-3332-a757-109cfe240d99
36,4,Ābhōgi,\N,0,\N,0152c150-7109-3b7c-b9aa-f28f608b2c1d
37,4,Āhir bhairav,\N,0,\N,a21c5b85-3310-356c-9249-9c795a8a2a6e
38,4,Āhiri,\N,0,\N,0c74bd0e-e097-3931-a838-8a7e2d5eb173
39,4,Amṛtavāhiṇi,\N,0,\N,d5f32687-8a5d-37c4-9e38-371524f117a5
40,4,Amṛtavarṣiṇi,\N,0,\N,e8788afa-0f39-32bc-a3a2-ad8be536cbe0
41,4,Ānandabhairavi,\N,0,\N,32f3ec8c-deca-3d6d-b4a0-42977971bbc6
42,4,Āndōḷika,\N,0,\N,7c0ce300-47fc-3e47-b994-1ddc596dc352
43,4,Ārabhi,\N,0,\N,bf8d7869-b689-34a5-80cf-56e20d097db3
44,4,Asāvēri,\N,0,\N,ee0f27d9-04ba-3845-9f8f-95b7b4cbb8f3
45,4,Aṭāna,\N,0,\N,2a1b5e48-5927-3c9b-9998-ef26c6b64a79
46,4,Bāgēśrī,\N,0,\N,da946de5-6838-3057-ae52-2f12ecbc6359
47,4,Bahudāri,\N,0,\N,4422acf4-3c3a-3284-8fcf-499bc1bf4f54
48,4,Balahaṁsa,\N,0,\N,e1c09a78-2008-371b-8535-b46ceeb49704
49,4,Bauḷi,\N,0,\N,f98068fe-0b01-3c41-97d7-5d0af0d2c171
50,4,Bēgaḍa,\N,0,\N,0f00130c-a81d-391f-861e-d8b2aae6cd56
51,4,Behāg,\N,0,\N,944aabff-8ded-3648-99f2-f0326bef02da
52,4,Bhairavi,\N,0,\N,74f6b21f-bf23-3c44-99c6-0dd65fa755fc
53,4,Bhavāni,\N,0,\N,2b021ddf-2559-30f7-9c87-a2fdd5351693
54,4,Bhāvapriya,\N,0,\N,51537582-0d52-39ba-9f3b-cb3e5646d26a
55,4,Bhīmpalāsi,\N,0,\N,198bf518-ad3c-3fbc-bc07-0928096e1696
56,4,Bhōga sāvēri,\N,0,\N,fb834f09-4d51-3bcb-95d4-7ece384f2eff
57,4,Bhūpāḷaṁ,\N,0,\N,49b43a14-6376-3637-b1a0-92a390f31874
58,4,Bhūṣāvaḷi,\N,0,\N,e0320211-3b06-323c-ba48-c64afb812ae6
59,4,Bilahari,\N,0,\N,4bfac006-1400-3024-9dc9-9b3fc2cdd18d
60,4,Bṛndāvana sāranga,\N,0,\N,23396cf7-4cfe-3773-91b3-d3fd48248de5
61,4,Bṛndāvani,\N,0,\N,c4e274a2-2176-30a9-80a9-cefe55fd9582
62,4,Budamanōhari,\N,0,\N,f388b171-28d5-3151-913f-e0f65613dda8
63,4,Cakravākaṁ,\N,0,\N,61a2ef23-5565-3b3a-8bce-ab7e3171ede1
64,4,Candrajyōti,\N,0,\N,d274a5f4-0b1f-3546-ad39-4fadd2804b6c
65,4,Candrakauns,\N,0,\N,01a4dd18-58fa-3bfa-8d5e-8849f1c2ba42
66,4,Carturdaśa rāgamālika,\N,0,\N,97b8a6b8-6dcc-3189-8cf3-edf289f40a4c
67,4,Cārukēśi,\N,0,\N,724bb0f4-5694-3eb4-830b-6353e7d3d65a
68,4,Cāyānāṭa,\N,0,\N,6061d2d6-a5ab-343d-8a65-93f28abbbde5
69,4,Cāyātarangiṇi,\N,0,\N,4f5ed3c4-85bb-3a0c-877a-9878ed0e2201
70,4,Cencu kāmbhōji,\N,0,\N,1e8788ae-d51a-3493-b4a4-c0dbde5379fc
71,4,Cintāmaṇi,\N,0,\N,15e2fb50-f230-3667-9595-d47c8071d364
72,4,Cittaranjani,\N,0,\N,046756e8-94fc-3313-92a1-0b7d6dea6938
73,4,Darbār,\N,0,\N,e9cd9856-e615-3459-9eb8-67c2adfa3bfc
74,4,Darbārī kānaḍa,\N,0,\N,f3c27003-c8ea-3fdf-817f-235421a370ad
75,4,Dēś,\N,0,\N,da249e91-c007-3245-8c76-6f5fef91cbf3
76,4,Dēvagāndhāri,\N,0,\N,35215493-491c-3dfc-a93d-44437588be3f
77,4,Dēvakriya,\N,0,\N,4f42c819-1ed6-3404-8c67-d9ce4a3510cd
78,4,Dēvamanōhari,\N,0,\N,493e1406-6f10-35db-82e0-e5f967b23661
79,4,Devāmṛtavarṣiṇi,\N,0,\N,461cf179-a796-3746-bd3d-5ed048993ba1
80,4,Dhanaśrī,\N,0,\N,2abf533c-4838-32ac-9925-a924e5d94b32
81,4,Dhanyāsi,\N,0,\N,b2581ad7-055f-3040-8864-6efa5bbc1326
82,4,Dharmāvati,\N,0,\N,69f38765-c492-3160-bd5c-898ebeb5fcbf
83,4,Dhēnuka,\N,0,\N,c605c2d5-f174-3567-a276-7197c9d248a5
84,4,Dīpakaṁ,\N,0,\N,b697ecd3-29d3-3336-8c56-8486d6fb755e
85,4,Dīpāḷi,\N,0,\N,9bb2fda3-1b6e-30a4-9e6a-1df0b57352a9
86,4,Durga,\N,0,\N,590cdc00-8c3c-32b2-a8c5-a975a4617629
87,4,Dvijāvanti,\N,0,\N,60d17ce5-dd6c-3b9c-90ce-f604c593e8e3
88,4,Gamakakriya,\N,0,\N,50f95da7-4504-3c04-af9f-bff8832d75ef
89,4,Gamakakriya/Pūrvīkaḷyāṇi,\N,0,\N,a240ae45-a419-3596-aed3-770838f23304
90,4,Gaṁbhīra nāṭa,\N,0,\N,9b82b1e6-ff51-3757-af75-3a4e8afa3c74
91,4,Gaṁbhīra vāṇi,\N,0,\N,7578c702-2299-328a-b344-d1467cce8f8d
92,4,Gānamūrti,\N,0,\N,33cfcf24-61ba-36e8-9ba0-471c8cb0e7f2
93,4,Gānavāridhi,\N,0,\N,13a30479-42f5-33a1-a513-a06817382df8
94,4,Gāngēyabhūṣaṇi,\N,0,\N,c7cfb992-5290-3d8d-a330-a875907f101c
95,4,Garuḍadhvani,\N,0,\N,d6bb7e3d-6aae-3497-bb58-8fafdef829a0
96,4,Gauḍa malhār,\N,0,\N,53cde592-ce10-3c91-a148-4e0835fa1779
97,4,Gauḷa,\N,0,\N,c7de408d-9766-3497-b36d-a9d82ca65e4e
98,4,Gauḷipantu,\N,0,\N,26e3eb7f-2a3c-3732-b065-a23bc8dd8bde
99,4,Gaurīmanōhari,\N,0,\N,ec035ff8-f907-3b8e-853b-6e4b0e8927a5
100,4,Ghanṭa,\N,0,\N,6befff23-47de-356f-856c-eb32ce6091bc
101,4,Gōpikāvasantaṁ,\N,0,\N,c10f9f4f-0f7a-3a55-971e-4b69bd6c5efc
102,4,Gurjāri,\N,0,\N,392afe0c-b9c2-35fc-b244-fab9da1f3469
103,4,Hamīr kaḷyaṇi,\N,0,\N,3b964d4d-3bc4-3025-b1c5-40652c378a8a
104,4,Hamsadhvani,\N,0,\N,cae5258e-cc9e-3809-b024-213cae66586e
105,4,Haṁsanādaṁ,\N,0,\N,5675ff93-3fa1-3a55-9d0c-48afeeb1c75e
106,4,Haṁsānandi,\N,0,\N,ba487a6a-d730-3302-bc42-21a17278cd90
107,4,Hamsavinōdini,\N,0,\N,e3050033-fb8d-30dc-af35-9a430764f137
108,4,Harikāmbhōji,\N,0,\N,c348dcf4-ac4b-3dad-b62c-2e3b4b31b86f
109,4,Hēmavati,\N,0,\N,664b649c-4087-385f-a5a9-bf18694c7d07
110,4,Hindōḷa vasantaṁ,\N,0,\N,3afd0cf7-7ee4-3fe3-b597-21b8e6bf51ff
111,4,Hindōḷaṁ,\N,0,\N,53231143-1a84-37e8-b472-1d7ed3ca0615
112,4,Hindustān gāndhāri,\N,0,\N,11be0e31-56d5-37a8-9437-4818d8bd7399
113,4,Hussēnī,\N,0,\N,f6b8968e-f952-3a5f-8bb4-c974531b48ad
114,4,Jaganmōhini,\N,0,\N,dede2521-74c1-31aa-8635-cc935736a6f0
115,4,Janaranjani,\N,0,\N,2483903c-b3fc-392d-b02c-eeca7597e1c3
